branch_id,branch_name,province,city,address,postal_code,phone,email,is_airport_branch,opening_hours,manager_name,fleet_capacity,created_at,updated_at,is_active,source_system
BR015,DriveZA Umhlanga,KwaZulu-Natal,Umhlanga,158 Church St,1949,0712321324,umhlanga.branch@driveza.co.za,False,07:00-19:00,Kagiso Baloyi,87,2019-07-30T00:00:00,2020-05-21T00:00:00,False,CRM_WEB
BR016,DriveZA Port Elizabeth,Eastern Cape,Port Elizabeth,65 Church St,8787,0843770370,port.elizabeth.branch@driveza.co.za,False,07:00-19:00,Johan Gumede,102,2017-05-16T00:00:00,2021-03-09T00:00:00,True,CRM_WEB
BR017,DriveZA East London,Eastern Cape,East London,103 Voortrekker St,7537,0768350099,east.london.branch@driveza.co.za,False,07:00-19:00,Nadia Gumede,82,2015-09-05T00:00:00,2021-05-22T00:00:00,True,CRM_WEB
BR018,DriveZA Grahamstown,Eastern Cape,Grahamstown,284 Church St,4608,0602191066,grahamstown.branch@driveza.co.za,False,07:00-19:00,Lisa Phiri,32,2016-04-13T00:00:00,2020-05-18T00:00:00,True,CRM_WEB
BR019,DriveZA Polokwane,Limpopo,Polokwane,37 Jan Smuts St,4899,0729143903,polokwane.branch@driveza.co.za,False,07:00-19:00,Ntombi Mnguni,41,2019-01-21T00:00:00,2023-03-15T00:00:00,True,CRM_WEB
BR020,DriveZA Tzaneen Airport,Limpopo,Tzaneen,243 Commissioner St,4119,0632626229,tzaneen.branch@driveza.co.za,True,06:00-22:00,Michael Philips,70,2017-05-17T00:00:00,2022-04-21T00:00:00,True,CRM_WEB
BR021,DriveZA Louis Trichardt,Limpopo,Louis Trichardt,51 Main St,7596,0742833230,louis.trichardt.branch@driveza.co.za,False,07:00-19:00,Maria Tshabalala,49,2018-01-03T00:00:00,2022-07-07T00:00:00,True,CRM_WEB
BR022,DriveZA Nelspruit Airport,Mpumalanga,Nelspruit,237 Church St,2235,0812642635,nelspruit.branch@driveza.co.za,True,06:00-22:00,Precious Banda,94,2019-09-09T00:00:00,2020-01-31T00:00:00,False,CRM_WEB
BR023,DriveZA Witbank,Mpumalanga,Witbank,122 Church St,7658,0829075854,witbank.branch@driveza.co.za,False,07:00-19:00,Ntombi Hendricks,32,2015-12-04T00:00:00,2022-02-15T00:00:00,True,CRM_WEB
BR024,DriveZA Secunda,Mpumalanga,Secunda,233 Voortrekker St,7930,0849164991,secunda.branch@driveza.co.za,False,07:00-19:00,Siyanda Tshabalala,62,2016-03-21T00:00:00,2020-04-29T00:00:00,True,CRM_WEB
BR025,DriveZA Rustenburg,North West,Rustenburg,161 Main St,1821,0878999183,rustenburg.branch@driveza.co.za,False,07:00-19:00,Tshepo Gumede,45,2015-04-27T00:00:00,2022-11-06T00:00:00,True,CRM_WEB
BR026,DriveZA Mahikeng Airport,North West,Mahikeng,35 Church St,7615,0635130808,mahikeng.branch@driveza.co.za,True,06:00-22:00,Itumeleng Ngcobo,30,2018-06-22T00:00:00,2020-06-16T00:00:00,True,CRM_WEB
BR027,DriveZA Klerksdorp,North West,Klerksdorp,268 Voortrekker St,5272,0666271130,klerksdorp.branch@driveza.co.za,False,07:00-19:00,Maria Smith,75,2015-09-26T00:00:00,2023-10-07T00:00:00,True,CRM_WEB
BR028,DriveZA Bloemfontein,Free State,Bloemfontein,38 Main St,8508,0872677407,bloemfontein.branch@driveza.co.za,False,07:00-19:00,Lerato Mnguni,52,2017-11-02T00:00:00,2021-06-27T00:00:00,True,CRM_WEB
BR029,DriveZA Welkom,Free State,Welkom,36 Church St,7054,0733646552,welkom.branch@driveza.co.za,False,07:00-19:00,Lindiwe Mnguni,115,2016-09-11T00:00:00,2023-06-06T00:00:00,False,CRM_WEB
BR030,DriveZA Kimberley,Free State,Kimberley,271 Main St,5905,0633253031,kimberley.branch@driveza.co.za,False,07:00-19:00,Johan Sithole,38,2019-03-01T00:00:00,2023-02-07T00:00:00,True,CRM_WEB
BR031,DriveZA Upington,Northern Cape,Upington,108 Voortrekker St,4335,0729479356,upington.branch@driveza.co.za,False,07:00-19:00,Kgomotso Smith,31,2015-07-09T00:00:00,2023-07-23T00:00:00,True,CRM_WEB
BR032,DriveZA Springbok,Northern Cape,Springbok,2 Voortrekker St,3143,0723710895,springbok.branch@driveza.co.za,False,07:00-19:00,Anna Williams,95,2018-12-16T00:00:00,2022-05-25T00:00:00,True,CRM_WEB
