payment_id,rental_id,customer_id,payment_date,amount_zar,payment_method,transaction_ref,payment_type,status,gateway,currency,created_at,source_system
PY0000034,RN000036,CU00287,2024-01-26,20532.54,Debit Card,TXN416599678,Final Payment,Success,Peach Payments,ZAR,2024-01-21T00:00:00,CRM_WEB
PY0000035,RN000037,CU00257,2024-06-08,12398.35,Credit Card,TXN913530624,Top-up,Success,Standard Bank EFT,ZAR,2024-01-03T00:00:00,THIRD_PARTY_OTA
PY0000036,RN000038,CU00300,2021-09-26,33281.99,Credit Card,TXN301213582,Top-up,Success,Peach Payments,ZAR,2023-12-06T00:00:00,CRM_WEB
PY0000037,RN000039,CU00452,2021-02-08,30578.72,EFT,TXN274931248,Top-up,Success,Peach Payments,ZAR,2024-02-22T00:00:00,CORPORATE_PORTAL
PY0000038,RN000041,CU00193,2020-12-22,14904.32,Cash,TXN968304861,Top-up,Pending,PayFast,ZAR,2023-03-25T00:00:00,CALL_CENTER
PY0000039,RN000042,CU00564,2020-12-27,1644.86,Credit Card,TXN186031176,Top-up,Success,Standard Bank EFT,ZAR,2021-11-16T00:00:00,CRM_MOBILE
PY0000040,RN000043,CU00594,2024-05-17,10975.3,Cash,TXN597199759,Top-up,Pending,Peach Payments,ZAR,2024-05-01T00:00:00,CALL_CENTER
PY0000041,RN000045,CU00324,2023-05-13,5243.62,Corporate Account,TXN460829167,Final Payment,Success,Ozow,ZAR,2023-08-09T00:00:00,WALK_IN
PY0000042,RN000046,CU00587,2024-04-18,2271.55,Credit Card,TXN569896100,Final Payment,Success,PayGate,ZAR,2023-08-16T00:00:00,CORPORATE_PORTAL
PY0000043,RN000047,CU00368,2023-07-28,12600.69,Corporate Account,TXN625341669,Top-up,Success,Ozow,ZAR,2022-06-29T00:00:00,CRM_MOBILE
PY0000044,RN000048,CU00170,2022-02-14,4646.11,Corporate Account,TXN216352301,Final Payment,Success,Ozow,ZAR,2022-11-26T00:00:00,CORPORATE_PORTAL
PY0000045,RN000049,CU00245,2023-08-01,5576.04,Credit Card,TXN330142111,Final Payment,Success,Ozow,ZAR,2024-05-27T00:00:00,WALK_IN
PY0000046,RN000050,CU00482,2024-02-17,18163.26,Corporate Account,TXN666846327,Booking Deposit,Success,Standard Bank EFT,ZAR,2022-08-28T00:00:00,THIRD_PARTY_OTA
PY0000047,RN000051,CU00277,2023-08-30,8606.68,EFT,TXN678418884,Booking Deposit,Success,Peach Payments,ZAR,2023-08-04T00:00:00,CRM_WEB
PY0000048,RN000052,CU00373,2024-05-25,13390.03,EFT,TXN294273389,Top-up,Success,Ozow,ZAR,2023-02-11T00:00:00,CALL_CENTER
PY0000049,RN000053,CU00444,2022-10-08,22191.86,Credit Card,TXN816739461,Final Payment,Success,PayGate,ZAR,2023-01-23T00:00:00,CRM_WEB
PY0000050,RN000054,CU00182,2022-11-03,1865.31,Corporate Account,TXN519327730,Final Payment,Success,PayFast,ZAR,2022-09-04T00:00:00,THIRD_PARTY_OTA
PY0000051,RN000055,CU00482,2023-10-21,37484.31,Debit Card,TXN773449366,Top-up,Success,Peach Payments,ZAR,2023-01-25T00:00:00,THIRD_PARTY_OTA
PY0000052,RN000056,CU00257,2023-01-30,4019.06,Cash,TXN253654509,Final Payment,Success,Ozow,ZAR,2022-12-28T00:00:00,WALK_IN
PY0000053,RN000056,CU00257,2023-06-02,4485.960000000001,Cash,TXN369878169,Final Payment,Success,PayGate,ZAR,2021-05-16T00:00:00,WALK_IN
PY0000054,RN000057,CU00586,2024-05-16,8875.29,EFT,TXN290916340,Top-up,Success,Standard Bank EFT,ZAR,2024-01-20T00:00:00,WALK_IN
PY0000055,RN000058,CU00169,2024-01-31,12333.79,Cash,TXN442628568,Booking Deposit,Success,Standard Bank EFT,ZAR,2023-08-13T00:00:00,CRM_MOBILE
PY0000056,RN000059,CU00599,2022-12-21,8896.09,Cash,TXN299184262,Top-up,Success,PayFast,ZAR,2021-09-12T00:00:00,CORPORATE_PORTAL
PY0000057,RN000060,CU00558,2022-09-20,21266.9,Cash,TXN582640001,Booking Deposit,Success,Peach Payments,ZAR,2023-11-08T00:00:00,WALK_IN
PY0000058,RN000061,CU00585,2023-05-12,8376.0,Cash,TXN230177933,Booking Deposit,Success,Standard Bank EFT,ZAR,2022-08-13T00:00:00,CRM_WEB
PY0000059,RN000062,CU00340,2024-01-04,6580.05,Corporate Account,TXN967363516,Booking Deposit,Success,PayGate,ZAR,2023-05-04T00:00:00,CORPORATE_PORTAL
PY0000060,RN000064,CU00152,2024-04-16,7114.19,Credit Card,TXN565087723,Booking Deposit,Success,Ozow,ZAR,2021-02-06T00:00:00,CALL_CENTER
PY0000061,RN000065,CU00027,2024-05-19,1052.02,Credit Card,TXN849522788,Booking Deposit,Success,Standard Bank EFT,ZAR,2024-06-21T00:00:00,CRM_MOBILE
PY0000062,RN000066,CU00300,2023-08-16,18380.61,Debit Card,TXN294599348,Booking Deposit,Success,Standard Bank EFT,ZAR,2023-09-18T00:00:00,THIRD_PARTY_OTA
PY0000063,RN000067,CU00171,2023-03-26,3502.09,Credit Card,TXN331766125,Booking Deposit,Failed,PayGate,ZAR,2022-04-16T00:00:00,CORPORATE_PORTAL
PY0000064,RN000068,CU00238,2023-08-31,18317.59,Debit Card,TXN618161872,Final Payment,Success,PayGate,ZAR,2022-09-25T00:00:00,CALL_CENTER
PY0000065,RN000070,CU00054,2021-07-23,15341.72,Credit Card,TXN768964754,Final Payment,Success,Standard Bank EFT,ZAR,2021-12-03T00:00:00,THIRD_PARTY_OTA
PY0000066,RN000071,CU00285,2021-06-22,19227.23,Credit Card,TXN987652501,Top-up,Success,PayGate,ZAR,2022-03-24T00:00:00,WALK_IN
PY0000067,RN000073,CU00482,2021-08-09,11180.39,Corporate Account,TXN785561446,Final Payment,Failed,Ozow,ZAR,2023-09-17T00:00:00,CORPORATE_PORTAL
PY0000068,RN000075,CU00041,2023-07-08,25385.44,Credit Card,TXN598857955,Booking Deposit,Success,Standard Bank EFT,ZAR,2022-02-17T00:00:00,WALK_IN
PY0000069,RN000078,CU00415,2022-05-12,2993.98,Debit Card,TXN736161741,Final Payment,Success,PayGate,ZAR,2024-06-15T00:00:00,CRM_MOBILE
PY0000070,RN000079,CU00023,2023-07-13,13165.18,Credit Card,TXN690499478,Final Payment,Success,PayGate,ZAR,2023-07-26T00:00:00,CALL_CENTER
PY0000071,RN000079,CU00023,2022-08-15,10256.259999999998,Credit Card,TXN623398913,Top-up,Failed,Ozow,ZAR,2024-05-11T00:00:00,CALL_CENTER
PY0000072,RN000080,CU00433,2023-03-25,23650.33,Corporate Account,TXN973473866,Final Payment,Success,PayGate,ZAR,2022-09-23T00:00:00,CRM_MOBILE
PY0000073,RN000082,CU00331,2024-04-16,6011.6,Corporate Account,TXN272599412,Top-up,Success,Peach Payments,ZAR,2024-04-01T00:00:00,WALK_IN
PY0000074,RN000083,CU00359,2023-10-07,1855.37,Debit Card,TXN228406371,Final Payment,Success,PayGate,ZAR,2023-02-28T00:00:00,WALK_IN
PY0000075,RN000086,CU00034,2020-10-06,8244.73,Cash,TXN216274787,Booking Deposit,Failed,PayFast,ZAR,2020-06-29T00:00:00,CRM_MOBILE
PY0000076,RN000087,CU00117,2023-03-16,10500.71,EFT,TXN121945498,Final Payment,Success,PayFast,ZAR,2024-02-26T00:00:00,CRM_WEB
PY0000077,RN000089,CU00274,2022-07-17,22896.89,Cash,TXN611165726,Final Payment,Success,Ozow,ZAR,2022-04-11T00:00:00,CALL_CENTER
PY0000078,RN000090,CU00355,2022-12-25,26041.24,Debit Card,TXN879031698,Top-up,Success,Peach Payments,ZAR,2023-01-05T00:00:00,CORPORATE_PORTAL
PY0000079,RN000093,CU00332,2023-09-22,23897.29,Credit Card,TXN636418037,Booking Deposit,Success,PayFast,ZAR,2023-09-27T00:00:00,CRM_WEB
PY0000080,RN000094,CU00425,2024-04-15,37309.74,EFT,TXN185756667,Final Payment,Success,Peach Payments,ZAR,2023-02-19T00:00:00,WALK_IN
PY0000081,RN000095,CU00274,2024-03-21,8886.53,EFT,TXN438792719,Top-up,Failed,Peach Payments,ZAR,2024-05-24T00:00:00,CRM_MOBILE
PY0000082,RN000096,CU00217,2024-06-03,40667.4,Credit Card,TXN584754852,Final Payment,Success,PayFast,ZAR,2024-01-28T00:00:00,WALK_IN
PY0000083,RN000097,CU00232,2023-08-03,10722.63,EFT,TXN566295401,Final Payment,Success,Ozow,ZAR,2021-03-06T00:00:00,CRM_MOBILE
PY0000084,RN000098,CU00278,2024-05-04,52224.71,Corporate Account,TXN513105886,Booking Deposit,Success,Standard Bank EFT,ZAR,2024-04-01T00:00:00,CRM_MOBILE
PY0000085,RN000099,CU00425,2024-03-02,15455.07,EFT,TXN829907205,Top-up,Success,Standard Bank EFT,ZAR,2024-06-16T00:00:00,CALL_CENTER
PY0000086,RN000100,CU00510,2021-10-01,8755.71,EFT,TXN944300576,Top-up,Success,Ozow,ZAR,2023-11-16T00:00:00,CORPORATE_PORTAL
PY0000087,RN000101,CU00223,2024-03-19,3096.53,Cash,TXN408029079,Final Payment,Success,Ozow,ZAR,2024-06-22T00:00:00,CORPORATE_PORTAL
PY0000088,RN000102,CU00303,2024-04-11,9954.66,Cash,TXN533829091,Final Payment,Success,PayGate,ZAR,2024-04-02T00:00:00,THIRD_PARTY_OTA
PY0000089,RN000103,CU00333,2024-01-01,13619.14,EFT,TXN700231846,Top-up,Success,Peach Payments,ZAR,2023-08-26T00:00:00,CRM_MOBILE
PY0000090,RN000105,CU00319,2022-08-09,14285.94,Credit Card,TXN454224152,Booking Deposit,Success,PayFast,ZAR,2022-08-19T00:00:00,CALL_CENTER
PY0000091,RN000106,CU00070,2024-06-29,2512.58,Credit Card,TXN577402978,Booking Deposit,Failed,Ozow,ZAR,2024-04-16T00:00:00,CORPORATE_PORTAL
PY0000092,RN000108,CU00158,2021-01-20,1621.37,EFT,TXN439314408,Final Payment,Success,PayFast,ZAR,2023-02-11T00:00:00,CRM_WEB
PY0000093,RN000110,CU00476,2021-07-02,7870.98,Cash,TXN296016459,Booking Deposit,Success,PayFast,ZAR,2023-05-01T00:00:00,CRM_MOBILE
PY0000094,RN000111,CU00331,2020-08-05,15681.87,Corporate Account,TXN693559381,Final Payment,Success,Peach Payments,ZAR,2022-03-05T00:00:00,THIRD_PARTY_OTA
PY0000095,RN000112,CU00280,2023-02-18,5311.56,Credit Card,TXN420210056,Final Payment,Pending,Standard Bank EFT,ZAR,2024-06-04T00:00:00,THIRD_PARTY_OTA
PY0000096,RN000114,CU00210,2023-03-22,4717.49,Debit Card,TXN547448740,Top-up,Success,PayFast,ZAR,2024-01-10T00:00:00,THIRD_PARTY_OTA
PY0000097,RN000116,CU00164,2021-03-10,40601.1,EFT,TXN101389617,Final Payment,Success,PayFast,ZAR,2023-08-31T00:00:00,CALL_CENTER
PY0000098,RN000118,CU00070,2024-06-29,28972.89,Corporate Account,TXN695473450,Booking Deposit,Success,PayGate,ZAR,2021-12-28T00:00:00,CALL_CENTER
PY0000099,RN000119,CU00448,2024-05-02,5441.31,Debit Card,TXN977028550,Final Payment,Success,Ozow,ZAR,2024-06-27T00:00:00,CALL_CENTER
PY0000100,RN000120,CU00308,2022-10-03,20820.49,Cash,TXN669632169,Top-up,Success,Peach Payments,ZAR,2022-04-13T00:00:00,CALL_CENTER
PY0000101,RN000121,CU00051,2023-07-28,18190.37,Credit Card,TXN245726447,Final Payment,Success,PayGate,ZAR,2023-09-30T00:00:00,THIRD_PARTY_OTA
PY0000102,RN000122,CU00458,2022-08-30,29412.35,Debit Card,TXN611208351,Booking Deposit,Success,PayFast,ZAR,2022-06-25T00:00:00,CALL_CENTER
PY0000103,RN000124,CU00462,2023-09-03,26567.83,EFT,TXN297452324,Booking Deposit,Success,Ozow,ZAR,2022-04-13T00:00:00,CORPORATE_PORTAL
PY0000104,RN000125,CU00355,2024-05-29,6498.69,Cash,TXN393396901,Top-up,Success,Ozow,ZAR,2022-03-15T00:00:00,WALK_IN
PY0000105,RN000126,CU00082,2023-09-10,6658.08,Corporate Account,TXN602150528,Booking Deposit,Success,Peach Payments,ZAR,2023-11-14T00:00:00,CRM_WEB
PY0000106,RN000126,CU00082,2023-03-03,12614.710000000001,Corporate Account,TXN607026332,Final Payment,Success,PayGate,ZAR,2023-06-29T00:00:00,CRM_WEB
PY0000107,RN000127,CU00030,2024-01-11,11145.14,Corporate Account,TXN297643081,Booking Deposit,Success,Peach Payments,ZAR,2020-09-07T00:00:00,CALL_CENTER
PY0000108,RN000128,CU00240,2023-11-23,7836.56,Corporate Account,TXN825641385,Top-up,Success,PayFast,ZAR,2023-05-19T00:00:00,WALK_IN
PY0000109,RN000130,CU00448,2024-01-17,20014.62,EFT,TXN470867206,Booking Deposit,Success,PayFast,ZAR,2024-04-12T00:00:00,CRM_WEB
PY0000110,RN000131,CU00453,2023-10-24,6145.61,Credit Card,TXN281227032,Top-up,Success,Ozow,ZAR,2024-01-08T00:00:00,CRM_WEB
PY0000111,RN000131,CU00453,2024-02-18,2730.8100000000004,Credit Card,TXN442560967,Top-up,Success,Ozow,ZAR,2024-05-27T00:00:00,CRM_WEB
PY0000112,RN000132,CU00324,2023-07-25,9641.1,Debit Card,TXN960882712,Top-up,Success,Standard Bank EFT,ZAR,2023-08-31T00:00:00,CALL_CENTER
PY0000113,RN000133,CU00380,2024-05-07,1553.06,Corporate Account,TXN166932968,Final Payment,Success,Peach Payments,ZAR,2024-05-07T00:00:00,CRM_MOBILE
PY0000114,RN000134,CU00230,2023-05-27,13562.22,Cash,TXN440168665,Final Payment,Success,Peach Payments,ZAR,2023-08-07T00:00:00,WALK_IN
PY0000115,RN000135,CU00529,2021-03-02,10782.9,Cash,TXN952699828,Top-up,Success,Ozow,ZAR,2021-07-13T00:00:00,CALL_CENTER
PY0000116,RN000135,CU00529,2024-06-06,7156.4400000000005,Cash,TXN107266394,Final Payment,Success,PayGate,ZAR,2022-09-04T00:00:00,CALL_CENTER
PY0000117,RN000136,CU00515,2024-06-22,21749.39,Debit Card,TXN697516249,Final Payment,Success,Standard Bank EFT,ZAR,2024-06-07T00:00:00,CRM_MOBILE
PY0000118,RN000137,CU00122,2023-12-18,4868.4,Cash,TXN724014116,Booking Deposit,Success,Ozow,ZAR,2023-04-25T00:00:00,CALL_CENTER
PY0000119,RN000138,CU00585,2023-05-06,12081.63,Debit Card,TXN564659652,Top-up,Success,Ozow,ZAR,2022-08-17T00:00:00,THIRD_PARTY_OTA
PY0000120,RN000139,CU00100,2024-02-08,16702.72,Cash,TXN984743687,Final Payment,Success,Ozow,ZAR,2021-05-20T00:00:00,CALL_CENTER
PY0000121,RN000140,CU00557,2023-10-15,10268.72,Debit Card,TXN889570923,Final Payment,Success,PayFast,ZAR,2021-09-06T00:00:00,CORPORATE_PORTAL
PY0000122,RN000141,CU00559,2023-03-17,6598.64,Debit Card,TXN759851041,Final Payment,Success,Peach Payments,ZAR,2024-01-22T00:00:00,CRM_MOBILE
PY0000123,RN000142,CU00599,2024-06-18,2460.77,Debit Card,TXN249097255,Final Payment,Pending,Peach Payments,ZAR,2022-11-07T00:00:00,WALK_IN
PY0000124,RN000143,CU00259,2021-11-10,2808.6,Corporate Account,TXN834050475,Final Payment,Success,Ozow,ZAR,2021-12-09T00:00:00,THIRD_PARTY_OTA
PY0000125,RN000144,CU00475,2024-04-03,13334.11,Corporate Account,TXN633892231,Top-up,Success,PayFast,ZAR,2023-06-09T00:00:00,WALK_IN
PY0000126,RN000145,CU00289,2023-11-02,6417.0,Credit Card,TXN218020771,Top-up,Pending,Standard Bank EFT,ZAR,2023-04-22T00:00:00,CALL_CENTER
PY0000127,RN000146,CU00280,2024-02-11,16660.31,Credit Card,TXN902937551,Final Payment,Success,Ozow,ZAR,2023-09-16T00:00:00,CORPORATE_PORTAL
PY0000128,RN000147,CU00155,2020-10-09,6902.23,Debit Card,TXN519336008,Final Payment,Success,Peach Payments,ZAR,2024-01-06T00:00:00,WALK_IN
PY0000129,RN000148,CU00300,2022-09-23,23441.79,Debit Card,TXN219058559,Top-up,Success,Standard Bank EFT,ZAR,2022-12-09T00:00:00,CORPORATE_PORTAL
PY0000130,RN000149,CU00514,2024-01-05,12334.91,Corporate Account,TXN993059491,Top-up,Success,Ozow,ZAR,2023-09-12T00:00:00,WALK_IN
PY0000131,RN000150,CU00327,2023-09-12,16447.8,Corporate Account,TXN796938716,Final Payment,Success,Peach Payments,ZAR,2024-03-12T00:00:00,CRM_WEB
PY0000132,RN000151,CU00267,2023-06-02,3428.27,Cash,TXN220796676,Top-up,Success,Ozow,ZAR,2024-04-29T00:00:00,CRM_MOBILE
PY0000133,RN000152,CU00507,2022-11-18,23369.46,EFT,TXN364231550,Booking Deposit,Success,Peach Payments,ZAR,2023-03-01T00:00:00,THIRD_PARTY_OTA
PY0000134,RN000153,CU00596,2023-03-17,16684.55,Corporate Account,TXN819711570,Top-up,Success,PayFast,ZAR,2022-05-16T00:00:00,CALL_CENTER
PY0000135,RN000154,CU00483,2023-09-23,6859.42,Debit Card,TXN148348216,Booking Deposit,Success,Peach Payments,ZAR,2022-07-04T00:00:00,CRM_WEB
PY0000136,RN000156,CU00550,2023-11-27,25552.14,EFT,TXN957602283,Final Payment,Failed,PayGate,ZAR,2023-04-12T00:00:00,CORPORATE_PORTAL
PY0000137,RN000157,CU00375,2022-01-14,22731.68,Debit Card,TXN836005558,Booking Deposit,Success,PayGate,ZAR,2022-12-06T00:00:00,WALK_IN
PY0000138,RN000158,CU00113,2023-07-25,18827.09,Debit Card,TXN747715982,Top-up,Success,PayFast,ZAR,2024-04-10T00:00:00,CORPORATE_PORTAL
PY0000139,RN000159,CU00396,2023-02-13,9506.1,Cash,TXN167444245,Final Payment,Success,PayGate,ZAR,2023-07-04T00:00:00,CRM_WEB
PY0000140,RN000161,CU00029,2023-08-26,21214.23,Debit Card,TXN561433453,Booking Deposit,Success,Standard Bank EFT,ZAR,2023-02-07T00:00:00,CRM_MOBILE
PY0000141,RN000162,CU00346,2024-01-23,19305.57,Corporate Account,TXN435059905,Top-up,Success,Peach Payments,ZAR,2024-03-25T00:00:00,CRM_WEB
PY0000142,RN000163,CU00167,2023-12-01,13542.91,Cash,TXN940047988,Top-up,Success,PayFast,ZAR,2023-12-22T00:00:00,THIRD_PARTY_OTA
PY0000143,RN000164,CU00488,2021-09-24,35009.95,Credit Card,TXN442558962,Top-up,Success,Ozow,ZAR,2020-09-30T00:00:00,WALK_IN
PY0000144,RN000165,CU00326,2022-10-18,18429.8,EFT,TXN958594574,Final Payment,Success,Peach Payments,ZAR,2023-05-23T00:00:00,THIRD_PARTY_OTA
PY0000145,RN000166,CU00287,2024-04-23,6155.61,EFT,TXN365695718,Top-up,Success,PayGate,ZAR,2024-01-30T00:00:00,WALK_IN
PY0000146,RN000167,CU00076,2023-08-11,6001.4,EFT,TXN551293820,Booking Deposit,Success,PayFast,ZAR,2024-06-16T00:00:00,CRM_WEB
PY0000147,RN000168,CU00333,2023-10-29,6704.73,EFT,TXN857142856,Final Payment,Success,PayFast,ZAR,2023-09-12T00:00:00,THIRD_PARTY_OTA
PY0000148,RN000169,CU00108,2023-09-30,10067.33,Cash,TXN377322923,Top-up,Success,Ozow,ZAR,2023-12-10T00:00:00,THIRD_PARTY_OTA
PY0000149,RN000169,CU00108,2023-08-21,6618.8099999999995,Cash,TXN365064646,Final Payment,Success,Standard Bank EFT,ZAR,2024-01-22T00:00:00,THIRD_PARTY_OTA
PY0000150,RN000170,CU00291,2024-04-24,11189.45,Debit Card,TXN442728163,Final Payment,Success,Peach Payments,ZAR,2022-09-26T00:00:00,CORPORATE_PORTAL
PY0000151,RN000171,CU00079,2022-02-20,3049.76,Corporate Account,TXN290170355,Booking Deposit,Success,PayFast,ZAR,2022-12-21T00:00:00,THIRD_PARTY_OTA
PY0000152,RN000172,CU00359,2022-05-20,47182.68,Corporate Account,TXN518902101,Final Payment,Success,PayFast,ZAR,2022-12-09T00:00:00,WALK_IN
PY0000153,RN000174,CU00498,2024-05-01,6351.7,EFT,TXN761724148,Final Payment,Success,PayGate,ZAR,2024-04-30T00:00:00,THIRD_PARTY_OTA
PY0000154,RN000175,CU00502,2024-06-10,5552.27,EFT,TXN383654066,Booking Deposit,Success,PayGate,ZAR,2024-03-13T00:00:00,CALL_CENTER
PY0000155,RN000176,CU00232,2024-06-23,13207.31,Debit Card,TXN807622404,Booking Deposit,Success,PayGate,ZAR,2023-12-03T00:00:00,THIRD_PARTY_OTA
PY0000156,RN000177,CU00102,2024-06-12,6280.85,Debit Card,TXN358285980,Final Payment,Success,PayGate,ZAR,2024-06-08T00:00:00,CRM_MOBILE
PY0000157,RN000178,CU00415,2024-06-21,11473.26,Corporate Account,TXN125163443,Booking Deposit,Success,PayGate,ZAR,2024-06-11T00:00:00,CRM_MOBILE
PY0000158,RN000179,CU00576,2023-05-29,19342.69,Cash,TXN650468021,Final Payment,Success,PayGate,ZAR,2024-06-01T00:00:00,CRM_MOBILE
PY0000159,RN000180,CU00557,2023-06-12,15104.51,Corporate Account,TXN510993085,Top-up,Success,PayGate,ZAR,2024-03-23T00:00:00,THIRD_PARTY_OTA
PY0000160,RN000181,CU00500,2022-09-10,7740.62,Corporate Account,TXN507799836,Top-up,Success,PayGate,ZAR,2022-08-12T00:00:00,THIRD_PARTY_OTA
PY0000161,RN000182,CU00567,2023-03-11,22137.31,Debit Card,TXN620033109,Final Payment,Success,Peach Payments,ZAR,2023-11-21T00:00:00,CRM_WEB
PY0000162,RN000183,CU00219,2024-02-20,17942.0,Cash,TXN768496917,Top-up,Success,Peach Payments,ZAR,2024-01-26T00:00:00,CRM_MOBILE
PY0000163,RN000185,CU00329,2023-02-05,13044.26,Debit Card,TXN262836289,Booking Deposit,Success,PayGate,ZAR,2024-01-21T00:00:00,WALK_IN
PY0000164,RN000186,CU00329,2023-11-25,7749.82,EFT,TXN616377188,Final Payment,Success,Ozow,ZAR,2023-07-29T00:00:00,THIRD_PARTY_OTA
